Alceu
botem
botes
botou
brami
brins
brios
broas
bufai
bufam
bufas
bufei
bufem
bufes
bufou
bulam
bulas
bules
bulis
buliu
buxos
bílis
bóiem
bóies
bôers
cabei
cabem
cabes
cabos
cacas
cacei
cacem
caces
cacos
cafés
cagai
cagam
cagas
cagou
caiai
caiam
caias
caiei
caiem
caies
caiou
calai
calam
calas
calei
calem
cales
calos
calou
camas
canas
canos
capai
capam
capas
capei
capem
capes
capou
caras
caros
carpi
casai
casam
casas
casei
casem
cases
casos
casou
casse
catai
catam
catas
catei
catem
cates
catou
cavai
cavam
cavas
cavei
cavem
caves
cavou
caçai
caçam
caçou
ceais
cedam
cedas
cedei
cedem
cedes
cedeu
ceeis
cegai
cegam
cegas
cegos
cegou
ceiam
ceias
ceiem
ceies
celas
cenas
ceras
cerni
cesse
chiai
chiam
chias
chiei
chiem
chies
chiou
chovi
cindi
cingi
cipós
citai
citam
citas
citei
citem
cites
citou
civis
clips
coagi
coais
cobri
cocei
cocem
coces
cocos
coeis
coibi
colai
colam
colas
colei
colem
coles
colhi
colou
comam
comas
comei
comem
comes
comeu
cones
copas
copos
corai
coram
coras
corei
corem
cores
coros
corou
corri
cosam
cosas
cosei
cosem
coses
coseu
cotai
cotam
cotas
cotei
cotem
cotes
cotou
covas
coxas
coxos
cozam
cozas
cozei
cozem
cozes
cozeu
coçai
coçam
coças
coçou
creem
criai
criam
crias
criei
criem
cries
criou
cruas
cubas
cubos
cucas
cucos
cuias
cujas
cujos
cujus
cumes
curai
curam
curas
curei
curem
cures
curou
curti
cuspi
custe
cútis
dadas
dados
damas
damos
danai
danam
danas
danei
danem
danes
danos
danou
daqui
darei
darem
dares
darás
datai
datam
datas
datei
datem
dates
datou
davam
davas
decai
dedos
delas
deles
demos
depus
depôs
deram
deras
derem
deres
desci
despi
desse
deste
detém
devam
devas
devei
devem
deves
deveu
dicas
digam
digas
dilui
direi
dirás
disse
diste
ditai
ditam
ditas
ditei
ditem
dites
ditos
ditou
divas
dizei
dizem
dizes
doais
docas
doeis
domai
domam
domas
domei
domem
domes
domou
donas
donos
dopai
dopam
dopas
dopei
dopem
dopes
dopou
dores
dormi
dosai
dosam
dosas
dosei
dosem
doses
dosou
dotai
dotam
dotas
dotei
dotem
dotes
dotou
doíam
doías
duais
dumas
dunas
durai
duram
duras
durei
durem
dures
duros
durou
dutos
ecoai
ecoam
ecoas
ecoei
ecoem
ecoes
ecoou
eiras
eixos
elegi
elixi
elmos
emiti
enchi
entes
ergam
ergas
ergui
erigi
ermos
erodi
errai
erram
erras
errei
errem
erres
erros
errou
ervas
esqui
essas
esses
estai
estas
estes
estou
esvai
evadi
exibi
exigi
eximi
expus
expôs
facas
faces
fadas
fados
falai
falam
falas
falei
falem
fales
falis
faliu
falou
famas
farei
faros
farás
fases
fatos
favas
favos
fazei
fazem
fazes
façam
fedam
fedas
fedei
fedem
fedes
fedeu
feias
feios
fendi
feras
ferem
feres
feris
feriu
fervi
fetos
fezes
fiais
ficai
ficam
ficas
ficou
fieis
figas
figos
filai
filam
filas
filei
filem
files
filou
finas
fingi
finos
firam
firas
fitai
fitam
fitas
fitei
fitem
fites
fitou
fixai
fixam
fixas
fixei
fixem
fixes
fixos
fixou
flori
fluam
fluas
fluem
fluis
fluiu
focai
focam
focas
focos
focou
fofas
fofos
fogem
foges
fogos
foles
fomes
fomos
fones
foram
foras
forem
fores
foros
fosse
foste
fotos
freai
freei
fremi
freou
frias
frigi
frios
fruam
fruas
fruem
fruis
fruiu
fucei
fucem
fuces
fugas
fugis
fugiu
fujam
fujas
fujem
fujes
fujis
fujiu
fulgi
fumai
fumam
fumas
fumei
fumem
fumes
fumou
fundi
funis
furai
furam
furas
furei
furem
fures
furos
furou
fusos
fuzis
fuçai
fuçam
fuças
fuçou
gabai
gabam
gabas
gabei
gabem
gabes
gabou
gados
gagas
gagos
gajas
gajos
galas
galos
gamos
ganem
ganes
ganis
ganiu
garis
gases
gaste
gatas
gatos
geais
geeis
geiam
geias
geiem
geies
gelai
gelam
gelas
gelei
gelem
geles
gelos
gelou
gemam
gemas
gemei
gemem
gemes
gemeu
genes
gerai
geram
geras
gerei
gerem
geres
geris
geriu
gerou
girai
giram
giras
girei
girem
gires
giros
girou
goiás
golas
goles
gomas
gomes
gomos
gorai
goram
goras
gorei
gorem
gores
gorou
goste
gotas
gozai
gozam
gozas
gozei
gozem
gozes
gozos
gozou
graus
grãos
guiai
guiam
guias
guiei
guiem
guies
guiou
gumes
guris
gôdos
hajam
hajas
halos
haras
harém
haste
hauri
havei
heras
herói
hindu
hinos
homem
horas
hunos
iates
iceis
ienes
ilhai
ilham
ilhas
ilhei
ilhem
ilhes
ilhou
iludi
impus
impôs
incas
inibi
inste
intui
invés
irdes
ireis
iriam
irias
irmos
irmãs
iscas
içais
jacas
jatos
jazam
jazas
jazei
jazem
jazes
jazeu
jecas
jesus
jogai
jogam
jogas
jogos
jogou
joias
jovem
jubas
judas
judeu
jurai
juram
juras
jurei
jurem
jures
juros
jurou
lacei
lacem
laces
lados
lagos
lajes
lambi
lares
latas
latem
lates
latis
latiu
lavai
lavam
lavas
lavei
lavem
laves
lavou
laçai
laçam
laças
laços
laçou
leais
ledes
legai
legam
legas
legou
leiam
leias
lemas
lemes
lemos
leoas
leram
leras
lerei
lerem
leres
lesai
lesam
lesas
lesei
lesem
leses
lesou
lesse
leste
levai
levam
levas
levei
levem
leves
levou
leões
liceu
lidai
lidam
lidas
lidei
lidem
lides
lidos
lidou
ligai
ligam
ligas
ligou
lilás
limai
limam
limas
limei
limem
limes
limou
liras
lisas
lisos
liste
lixai
lixam
lixas
lixei
lixem
lixes
lixou
lobas
lobos
locai
locam
locas
locou
lojas
lonas
lopes
lotai
lotam
lotas
lotei
lotem
lotes
lotou
lucas
lulas
lupas
lusas
lusos
lutai
lutam
lutas
lutei
lutem
lutes
lutou
luvas
luxos
luzam
luzas
luzem
luzes
luzis
luziu
líeis
lótus
macas
magos
maias
malas
males
mamai
mamam
mamas
mamei
mamem
mames
mamou
manas
manos
manés
mapas
mares
matai
matam
matas
matei
matem
mates
matos
matou
maços
medem
medes
medis
mediu
medos
meias
meios
melai
melam
melas
melei
melem
meles
melou
menos
menti
menus
meras
meros
mesas
meses
metam
metas
metei
metem
metes
meteu
mexam
mexas
mexei
mexem
mexes
mexeu
meçam
meças
miais
micos
mieis
mijai
mijam
mijas
mijei
mijem
mijes
mijou
mimai
mimam
mimas
mimei
mimem
mimes
mimos
mimou
minai
minam
minas
minei
minem
mines
minis
minou
mirai
miram
miras
mirei
mirem
mires
mirou
mitos
mixos
moais
modas
modem
modos
moeis
mofai
mofam
mofas
mofei
mofem
mofes
mofou
mogem
moges
molas
moles
momos
morai
moram
moras
mordi
morei
morem
mores
morou
morri
motos
movam
movas
movei
movem
moves
moveu
moças
moços
moíam
moías
mucos
mudai
mudam
mudas
mudei
mudem
mudes
mudos
mudou
mugis
mugiu
mujam
mujas
mulas
multi
munem
munes
munis
muniu
murai
muram
muras
murei
murem
mures
muros
murou
musas
nabos
nacos
nadai
nadam
nadas
nadei
nadem
nades
nadou
nanai
nanam
nanas
nanei
nanem
nanes
nanou
nasci
natas
natos
naves
negai
negam
negas
negou
nelas
neles
neném
nenês
nesse
neste
netas
netos
nevai
nevam
nevas
nevei
nevem
neves
nevou
nexos
ninai
ninam
ninas
ninei
ninem
nines
ninou
nomes
noras
notai
notam
notas
notei
notem
notes
notou
novas
novos
nozes
nulas
nulos
numas
nunes
nutri
nuvem
obras
obste
obtém
odiai
odiei
odiou
oeste
olhai
olham
olhas
olhei
olhem
olhes
olhos
olhou
omiti
ondas
ontem
onças
optai
optam
optas
optei
optem
optes
optou
opõem
opões
orais
orcas
orcei
orcem
orces
ordem
oreis
orgem
orges
orlai
orlam
orlas
orlei
orlem
orles
orlou
ornai
ornam
ornas
ornei
ornem
ornes
ornou
orçai
orçam
orçou
ossos
ouros
ousai
ousam
ousas
ousei
ousem
ouses
ousou
ouvem
ouves
ouvis
ouviu
ouçam
ouças
ovais
oásis
pagai
pagam
pagas
pagem
pagos
pagou
panos
papai
papam
papas
papei
papem
papes
papos
papou
parai
param
paras
parei
parem
pares
paris
pariu
parou
parti
paste
patas
patos
pazes
pecai
pecam
pecas
pecou
pedem
pedes
pedis
pediu
pegai
pegam
pegas
pegou
pelai
pelam
pelas
pelei
pelem
peles
pelos
pelou
penai
penam
penas
pendi
penei
penem
penes
penou
peras
perdi
perus
pesai
pesam
pesas
pesei
pesem
peses
pesos
pesou
peste
peões
piais
piauí
picai
picam
picas
picos
picou
pieis
pifai
pifam
pifas
pifei
pifem
pifes
pifou
pinos
pipas
pires
pisai
pisam
pisas
pisei
pisem
pises
pisou
pivôs
pneus
podai
podam
podas
podei
podem
podes
podou
polis
poliu
pomos
porei
porem
pores
poros
porás
posai
posam
posas
posei
posem
poses
posou
poste
potes
povos
poças
poços
premi
previ
proas
provi
pulai
pulam
pulas
pulei
pulem
pules
pulos
pulou
pumas
punam
punas
punem
punes
punis
puniu
puras
puros
putas
putos
puxai
puxam
puxas
puxei
puxem
puxes
puxou
pênis
pólos
pônei
púbis
quais
rabos
raiai
raiam
raias
raiei
raiem
raies
raios
raiou
rajai
rajam
rajas
rajei
rajem
rajes
rajou
ralai
ralam
ralas
ralei
ralem
rales
ralos
ralou
ramos
rangi
rapai
rapam
rapas
rapei
rapem
rapes
rapou
raras
raros
rasas
rasos
ratas
ratos
raças
reagi
reais
recai
recém
redes
refém
regai
regam
regas
regei
regem
reges
regeu
regou
rejam
rejas
reles
releu
remai
remam
remas
remei
remem
remes
remis
remiu
remos
remou
remoí
renas
rendi
repus
repôs
reses
reste
retas
retos
retém
reuni
reviu
revés
rezai
rezam
rezas
rezei
rezem
rezes
rezou
riais
ribas
ricas
ricos
rides
rifai
rifam
rifas
rifei
rifem
rifes
rifou
rijas
rijos
rimai
rimam
rimas
rimei
rimem
rimes
rimos
rimou
ripas
riram
riras
rirei
rirem
rires
risos
risse
riste
ritos
rixas
roais
robôs
rocas
rocei
rocem
roces
rodai
rodam
rodas
rodei
rodem
rodes
rodos
rodou
roeis
rogai
rogam
rogas
rogem
roges
rogos
rogou
rolai
rolam
rolas
rolei
rolem
roles
rolos
rolou
rompi
romãs
rosas
rotas
rotos
roxas
roxos
roçai
roçam
roçou
roíam
roías
rubis
rudes
rufai
rufam
rufas
rufei
rufem
rufes
rufou
rugai
rugam
rugas
rugis
rugiu
rugou
ruiam
ruias
ruins
rujam
rujas
rumai
rumam
rumas
rumei
rumem
rumes
rumos
rumou
ríeis
sabei
sabem
sabes
sacai
sacam
sacas
sacis
sacos
sacou
safai
safam
safas
safei
safem
safes
safou
sagas
saiam
saias
salas
sales
sanai
sanam
sanas
sanei
sanem
sanes
sanou
sapos
sarai
saram
saras
sarei
sarem
sares
sarou
sebes
sebos
secai
secam
secas
secos
secou
sedas
sedes
segui
seios
sejam
sejas
selai
selam
selas
selei
selem
seles
selos
selou
senos
senti
serei
serem
seres
servi
serzi
serás
setas
sexos
sigam
sigas
silos
sinas
sinos
siris
sitas
sitos
soais
sobem
sobes
socai
socam
socas
socos
socou
soeis
sofri
sofás
solai
solam
solas
solei
solem
soles
solos
solou
somai
somam
somas
somei
somem
somes
somos
somou
sonos
sopas
sopés
soros
sorri
sorti
sorvi
sovai
sovam
sovas
sovei
sovem
soves
sovou
suais
subam
subas
subis
subiu
sucos
sueis
sugai
sugam
sugas
sugou
sujai
sujam
sujas
sujei
sujem
sujes
sujos
sujou
sumam
sumas
sumis
sumiu
supri
supus
supôs
surgi
suste
susti
sutis
tabas
tacai
tacam
tacas
tacos
tacou
talas
talos
tangi
tapai
tapam
tapas
tapei
tapem
tapes
tapou
taras
tatus
taxai
taxam
taxas
taxei
taxem
taxes
taxou
tecei
tecem
teces
teceu
teias
telas
teles
temam
temas
temei
temem
temes
temeu
temos
tendi
terei
terem
teres
terás
tesas
teses
tesos
teste
tetas
tetos
teçam
teças
tidas
tidos
times
tinam
tinas
tinem
tines
tingi
tinis
tiniu
tipos
tirai
tiram
tiras
tirei
tirem
tires
tiros
tirou
titãs
tocai
tocam
tocas
tocou
todas
todos
togas
tolas
tolhi
tolos
tomai
tomam
tomas
tomei
tomem
tomes
tomou
topai
topam
topas
topei
topem
topes
topos
topou
toras
torci
toros
tosai
tosam
tosas
tosei
tosem
toses
tosou
tossi
toste
totem
traem
trais
traiu
tremi
trens
trios
tubos
tupis
táxis
uivai
uivam
uivas
uivei
uivem
uives
uivos
uivou
unais
ungem
unges
ungis
ungiu
unhas
uniam
unias
untai
untam
untas
untei
untem
untes
untou
urdam
urdas
urdem
urdes
urdis
urdiu
urgis
urgiu
urjam
urjas
urnas
urrai
urram
urras
urrei
urrem
urres
urros
urrou
ursas
ursos
urubu
usais
useis
vacas
vades
vagai
vagam
vagas
vagem
vagis
vagiu
vagos
vagou
vaiai
vaiam
vaias
vaiei
vaiem
vaies
vaiou
valas
valei
valem
vales
valeu
valos
vamos
varai
varam
varas
varei
varem
vares
varou
varri
vasos
vazai
vazam
vazas
vazei
vazem
vazes
vazou
vedai
vedam
vedas
vedei
vedem
vedes
vedou
veias
vejai
vejam
vejas
velai
velam
velas
velei
velem
veles
velou
vemos
venci
vendi
verei
verem
veres
verti
verás
veste
vesti
vetai
vetam
vetas
vetei
vetem
vetes
vetou
vexai
vexam
vexas
vexei
vexem
vexes
vexou
vezes
vidas
vigas
vilas
vimos
virai
viram
viras
virei
virem
vires
viris
virou
visai
visam
visas
visei
visem
vises
visou
visse
viste
vivam
vivas
vivei
vivem
vives
viveu
vivos
viões
voais
vocês
voeis
volvi
votai
votam
votas
votei
votem
votes
votos
votou
vovós
vozes
víeis
vôlei
xales
xarás
zagas
zelai
zelam
zelas
zelei
zelem
zeles
zelou
zerai
zeram
zeras
zerei
zerem
zeres
zeros
zerou
zonas
zumbi
zunam
zunas
zunem
zunes
zunis
zuniu
ágeis
ágios
álibi
áreas
árias
éguas
éreis
íamos
ítens
ódios
óleos
órfãs
úteis
